function	cod	gene_name	type	chr	organism
 ER membrane protein complex subunit	6	EMC6	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	4-12	KRTAP4-12	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	1-5	KRTAP1-5	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	3-1	KRTAP3-1	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	3-2	KRTAP3-2	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein 4-8 isoform	1	KRTAP4-8	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	9-2	KRTAP9-2	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	9-3	KRTAP9-3	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	9-8	KRTAP9-8	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	17-1	KRTAP17-1	__SEG__	Chr17	{HomoSapiens}
 serine/threonine-protein kinase	haspin	HASPIN	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	4-4	KRTAP4-4	__SEG__	Chr17	{HomoSapiens}
 zinc finger protein	594	ZNF594	__SEG__	Chr17	{HomoSapiens}
 kinesin-like protein	KIF2B	KIF2B	__SEG__	Chr17	{HomoSapiens}
 putative keratin-associated protein	ENSP00000381495	KRTAP2-2	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	4-11	KRTAP4-11	__SEG__	Chr17	{HomoSapiens}
 putative keratin-associated protein	4-X	KRTAP4-7	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	4-2	KRTAP4-2	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	2-4	KRTAP2-4	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	3-3	KRTAP3-3	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	4-3	KRTAP4-3	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	4-5	KRTAP4-5	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	9-4	KRTAP9-4	__SEG__	Chr17	{HomoSapiens}
 heat shock protein	beta-9	HSPB9	__SEG__	Chr17	{HomoSapiens}
 zinc finger protein	830	ZNF830	__SEG__	Chr17	{HomoSapiens}
 gap junction delta-3	protein	GJD3	__SEG__	Chr17	{HomoSapiens}
 uncharacterized protein	C17orf77	C17orf77	__SEG__	Chr17	{HomoSapiens}
 solute carrier family 35 member	G3	SLC35G3	__SEG__	Chr17	{HomoSapiens}
 major facilitator superfamily domain-containing protein	6-like	MFSD6L	__SEG__	Chr17	{HomoSapiens}
 zinc finger protein 3	homolog	ZFP3	__SEG__	Chr17	{HomoSapiens}
 signal peptide peptidase-like 2C	precursor	SPPL2C	__SEG__	Chr17	{HomoSapiens}
 nascent polypeptide-associated complex subunit	alpha-2	NACA2	__SEG__	Chr17	{HomoSapiens}
 reprimo-like	protein	RPRML	__SEG__	Chr17	{HomoSapiens}
 putative uncharacterized protein	C17orf82	C17orf82	__SEG__	Chr17	{HomoSapiens}
 dual specificity protein phosphatase 14 isoform	X1	DUSP14	__SEG__	Chr17	{HomoSapiens}
 uncharacterized protein LOC105371944 isoform	X1	LOC105371944	__SEG__	Chr17	{HomoSapiens}
 olfactory receptor 3A3 isoform	X1	OR3A3	__SEG__	Chr17	{HomoSapiens}
 transmembrane protein 99 isoform	X1	TMEM99	__SEG__	Chr17	{HomoSapiens}
 endonuclease V isoform	X20	ENDOV	__SEG__	Chr17	{HomoSapiens}
 testis-expressed protein 19 isoform	X1	TEX19	__SEG__	Chr17	{HomoSapiens}
 olfactory receptor 3A1 isoform	X1	OR3A1	__SEG__	Chr17	{HomoSapiens}
 transmembrane protein 100 isoform	X1	TMEM100	__SEG__	Chr17	{HomoSapiens}
 protein MIS12 homolog isoform	X1	MIS12	__SEG__	Chr17	{HomoSapiens}
 cyclin-dependent kinase 5 activator 1 isoform	X1	CDK5R1	__SEG__	Chr17	{HomoSapiens}
 flocculation protein	FLO11-like	LOC107985021	__SEG__	Chr17	{HomoSapiens}
 leucine-rich repeat-containing protein	37A3-like	LOC107985082	__SEG__	Chr17	{HomoSapiens}
 uncharacterized protein	FAM215A-like	LOC107987254	__SEG__	Chr17	{HomoSapiens}
 putative uncharacterized protein encoded by LINC00483 isoform	X1	LINC00483	__SEG__	Chr17	{HomoSapiens}
 uncharacterized protein	LOC112268198	LOC112268198	__SEG__	Chr17	{HomoSapiens}
 TYMS opposite strand	protein	TYMSOS	__SEG__	Chr18	{HomoSapiens}
 solute carrier family 25 member	52	SLC25A52	__SEG__	Chr18	{HomoSapiens}
 transmembrane protein	200C	TMEM200C	__SEG__	Chr18	{HomoSapiens}
 elongin-A3 member	B	ELOA3B	__SEG__	Chr18	{HomoSapiens}
 leucine-rich repeat-containing protein	30	LRRC30	__SEG__	Chr18	{HomoSapiens}
 elongin-A3 member	D	ELOA3D	__SEG__	Chr18	{HomoSapiens}
 biorientation of chromosomes in cell division protein 1-like	2	BOD1L2	__SEG__	Chr18	{HomoSapiens}
 putative solute carrier family 35 member	G4	SLC35G4	__SEG__	Chr18	{HomoSapiens}
 uncharacterized protein	C18orf12	C18orf12	__SEG__	Chr18	{HomoSapiens}
 putative elongin-A3 member	C	ELOA3C	__SEG__	Chr18	{HomoSapiens}
	centrin-1	CETN1	__SEG__	Chr18	{HomoSapiens}
 melanocortin receptor	4	MC4R	__SEG__	Chr18	{HomoSapiens}
 melanocortin receptor	5	MC5R	__SEG__	Chr18	{HomoSapiens}
	elongin-A2	ELOA2	__SEG__	Chr18	{HomoSapiens}
 charged multivesicular body protein	1b	CHMP1B	__SEG__	Chr18	{HomoSapiens}
 dermatan-sulfate epimerase-like protein	precursor	DSEL	__SEG__	Chr18	{HomoSapiens}
	elongin-A3	ELOA3	__SEG__	Chr18	{HomoSapiens}
 cTAGE family member	2	CTAGE1	__SEG__	Chr18	{HomoSapiens}
 uncharacterized protein	LOC105372109	LOC105372109	__SEG__	Chr18	{HomoSapiens}
 uncharacterized protein	LOC105372204	LOC105372204	__SEG__	Chr18	{HomoSapiens}
 uncharacterized protein	LOC100996274	LOC100996274	__SEG__	Chr18	{HomoSapiens}
 E3 ubiquitin-protein ligase RNF152 isoform	X1	RNF152	__SEG__	Chr18	{HomoSapiens}
 adrenocorticotropic hormone receptor isoform	X1	MC2R	__SEG__	Chr18	{HomoSapiens}
 suppressor of cytokine signaling 6 isoform	X1	SOCS6	__SEG__	Chr18	{HomoSapiens}
 histidine-rich protein	PFHRP-II-like	LOC107985149	__SEG__	Chr18	{HomoSapiens}
 uncharacterized protein	LOC105376875	LOC105376875	__SEG__	Chr18	{HomoSapiens}
 olfactory receptor	7G3	OR7G3	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	1M1	OR1M1	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	10H4	OR10H4	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	10H5	OR10H5	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	2Z1	OR2Z1	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	1I1	OR1I1	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	7A10	OR7A10	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	7D4	OR7D4	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	7G1	OR7G1	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	7G2	OR7G2	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	4F17	OR4F17	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein	835	ZNF835	__SEG__	Chr19	{HomoSapiens}
 nanos homolog	2	NANOS2	__SEG__	Chr19	{HomoSapiens}
 succinate dehydrogenase assembly factor 1,	mitochondrial	SDHAF1	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	7E24	OR7E24	__SEG__	Chr19	{HomoSapiens}
 galactoside 2-alpha-L-fucosyltransferase	2	FUT2	__SEG__	Chr19	{HomoSapiens}
 galactoside	3(4)-L-fucosyltransferase	FUT3	__SEG__	Chr19	{HomoSapiens}
 leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3	precursor	LINGO3	__SEG__	Chr19	{HomoSapiens}
 serine/arginine repetitive matrix protein	5	SRRM5	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein	580	ZNF580	__SEG__	Chr19	{HomoSapiens}
 tumor necrosis factor alpha-induced protein 8-like protein	1	TNFAIP8L1	__SEG__	Chr19	{HomoSapiens}
 transmembrane protein	238	TMEM238	__SEG__	Chr19	{HomoSapiens}
 endogenous retrovirus group V member 2 Env polyprotein	precursor	ERVV-2	__SEG__	Chr19	{HomoSapiens}
 fMet-Leu-Phe	receptor	FPR1	__SEG__	Chr19	{HomoSapiens}
 RING finger protein	225	RNF225	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein	865	ZNF865	__SEG__	Chr19	{HomoSapiens}
 C5a anaphylatoxin chemotactic receptor	2	C5AR2	__SEG__	Chr19	{HomoSapiens}
 leukocyte receptor cluster member 9 isoform	2	LENG9	__SEG__	Chr19	{HomoSapiens}
 putative guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit	gamma-14	GNG14	__SEG__	Chr19	{HomoSapiens}
 F-box only protein	46	FBXO46	__SEG__	Chr19	{HomoSapiens}
 galactoside 2-alpha-L-fucosyltransferase	1	FUT1	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein	83	ZNF83	__SEG__	Chr19	{HomoSapiens}
 G-protein coupled receptor	42	GPR42	__SEG__	Chr19	{HomoSapiens}
 putative zinc finger protein	56	ZNF56	__SEG__	Chr19	{HomoSapiens}
 trafficking protein particle complex subunit	2B	TRAPPC2B	__SEG__	Chr19	{HomoSapiens}
 ribosomal protein SA pseudogene	58	RPSAP58	__SEG__	Chr19	{HomoSapiens}
 N-formyl peptide receptor	2	FPR2	__SEG__	Chr19	{HomoSapiens}
 probable G-protein coupled receptor	32	GPR32	__SEG__	Chr19	{HomoSapiens}
 N-formyl peptide receptor	3	FPR3	__SEG__	Chr19	{HomoSapiens}
 alpha-(1,3)-fucosyltransferase	5	FUT5	__SEG__	Chr19	{HomoSapiens}
 transcription factor	jun-B	JUNB	__SEG__	Chr19	{HomoSapiens}
 sphingosine 1-phosphate receptor 4	precursor	S1PR4	__SEG__	Chr19	{HomoSapiens}
 sphingosine 1-phosphate receptor	2	S1PR2	__SEG__	Chr19	{HomoSapiens}
 CCAAT/enhancer-binding protein alpha isoform	a	CEBPA	__SEG__	Chr19	{HomoSapiens}
 immediate early response gene 2	protein	IER2	__SEG__	Chr19	{HomoSapiens}
 free fatty acid receptor	1	FFAR1	__SEG__	Chr19	{HomoSapiens}
 transcription factor jun-D isoform	JunD-FL	JUND	__SEG__	Chr19	{HomoSapiens}
 nuclear pore glycoprotein	p62	NUP62	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	7C2	OR7C2	__SEG__	Chr19	{HomoSapiens}
 SERTA domain-containing protein	3	SERTAD3	__SEG__	Chr19	{HomoSapiens}
 SERTA domain-containing protein	1	SERTAD1	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	10H3	OR10H3	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	10H2	OR10H2	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	10H1	OR10H1	__SEG__	Chr19	{HomoSapiens}
 interferon regulatory factor 2-binding protein	1	IRF2BP1	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein	358	ZNF358	__SEG__	Chr19	{HomoSapiens}
 putative uncharacterized protein	C19orf73	C19orf73	__SEG__	Chr19	{HomoSapiens}
 protein fem-1 homolog	A	FEM1A	__SEG__	Chr19	{HomoSapiens}
 vomeronasal type-1 receptor	1	VN1R1	__SEG__	Chr19	{HomoSapiens}
 paraneoplastic antigen-like protein	8B	PNMA8B	__SEG__	Chr19	{HomoSapiens}
 ubiquitin carboxyl-terminal hydrolase	29	USP29	__SEG__	Chr19	{HomoSapiens}
 sphingosine 1-phosphate receptor	5	S1PR5	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	7A17	OR7A17	__SEG__	Chr19	{HomoSapiens}
 testis-specific serine/threonine-protein kinase	6	TSSK6	__SEG__	Chr19	{HomoSapiens}
 coiled-coil domain-containing protein	8	CCDC8	__SEG__	Chr19	{HomoSapiens}
 uncharacterized protein	C19orf48	C19orf48	__SEG__	Chr19	{HomoSapiens}
 baculoviral IAP repeat-containing protein	8	BIRC8	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein	526	ZNF526	__SEG__	Chr19	{HomoSapiens}
 sperm acrosome membrane-associated protein 4	precursor	SPACA4	__SEG__	Chr19	{HomoSapiens}
 myeloid-associated differentiation	marker	MYADM	__SEG__	Chr19	{HomoSapiens}
 probable inactive tRNA-specific adenosine deaminase-like protein 3 isoform	1	ADAT3	__SEG__	Chr19	{HomoSapiens}
 cdc42 effector protein	5	CDC42EP5	__SEG__	Chr19	{HomoSapiens}
 methyl-CpG-binding domain protein 3-like	1	MBD3L1	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein	491	ZNF491	__SEG__	Chr19	{HomoSapiens}
 EP300-interacting inhibitor of differentiation	2B	EID2B	__SEG__	Chr19	{HomoSapiens}
 endogenous retrovirus group V member 1 Env polyprotein	precursor	ERVV-1	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein	781	ZNF781	__SEG__	Chr19	{HomoSapiens}
 EP300-interacting inhibitor of differentiation	2	EID2	__SEG__	Chr19	{HomoSapiens}
 vomeronasal type-1 receptor	2	VN1R2	__SEG__	Chr19	{HomoSapiens}
 trafficking protein particle complex subunit	5	TRAPPC5	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor	7D2	OR7D2	__SEG__	Chr19	{HomoSapiens}
 putative transmembrane protein	INAFM1	INAFM1	__SEG__	Chr19	{HomoSapiens}
 actin-like protein	9	ACTL9	__SEG__	Chr19	{HomoSapiens}
 E3 ubiquitin-protein ligase ZNRF4	precursor	ZNRF4	__SEG__	Chr19	{HomoSapiens}
 TIR domain-containing adapter molecule	1	TICAM1	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein	497	ZNF497	__SEG__	Chr19	{HomoSapiens}
 UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	precursor	B3GNT8	__SEG__	Chr19	{HomoSapiens}
	cortexin-1	CTXN1	__SEG__	Chr19	{HomoSapiens}
 regulator of G-protein signaling 9-binding	protein	RGS9BP	__SEG__	Chr19	{HomoSapiens}
 biogenesis of lysosome-related organelles complex 1 subunit	3	BLOC1S3	__SEG__	Chr19	{HomoSapiens}
 interferon-inducible GTPase 5 isoform	X1	IRGC	__SEG__	Chr19	{HomoSapiens}
 endogenous retrovirus group K member 8 Gag	polyprotein-like	LOC105372269	__SEG__	Chr19	{HomoSapiens}
 endogenous retrovirus group S71 member 1 Env	polyprotein	LOC105372315	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein 837 isoform	X1	ZNF837	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein 345 isoform	X1	ZNF345	__SEG__	Chr19	{HomoSapiens}
 olfactory receptor 7A5 isoform	X1	OR7A5	__SEG__	Chr19	{HomoSapiens}
 G-protein coupled receptor 4 isoform	X1	GPR4	__SEG__	Chr19	{HomoSapiens}
 free fatty acid receptor 2 isoform	X1	FFAR2	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein 260 isoform	X1	ZNF260	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein 581 isoform	X1	ZNF581	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein OZF isoform	X1	ZNF146	__SEG__	Chr19	{HomoSapiens}
 fukutin-related protein isoform	X1	FKRP	__SEG__	Chr19	{HomoSapiens}
 gem-associated protein 7 isoform	X1	GEMIN7	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein	791-like	LOC107984139	__SEG__	Chr19	{HomoSapiens}
 methyl-CpG-binding domain protein 3-like	2B	MBD3L2B	__SEG__	Chr19	{HomoSapiens}
 nuclear factor interleukin-3-regulated	protein-like	LOC107983991	__SEG__	Chr19	{HomoSapiens}
 zinc finger protein	430-like	LOC105372319	__SEG__	Chr19	{HomoSapiens}
 uncharacterized protein	LOC107985332	LOC107985332	__SEG__	Chr19	{HomoSapiens}
 CCAAT/enhancer-binding protein gamma isoform	X1	CEBPG	__SEG__	Chr19	{HomoSapiens}
		IGKC	__SEG__	Chr2	{HomoSapiens}
		IGKJ1	__SEG__	Chr2	{HomoSapiens}
		IGKJ2	__SEG__	Chr2	{HomoSapiens}
		IGKJ3	__SEG__	Chr2	{HomoSapiens}
		IGKJ4	__SEG__	Chr2	{HomoSapiens}
		IGKJ5	__SEG__	Chr2	{HomoSapiens}
		IGKV2-40	__SEG__	Chr2	{HomoSapiens}
 C-X-C chemokine receptor type	1	CXCR1	__SEG__	Chr2	{HomoSapiens}
 alpha-2B adrenergic	receptor	ADRA2B	__SEG__	Chr2	{HomoSapiens}
 dnaJ homolog subfamily B member	3	DNAJB3	__SEG__	Chr2	{HomoSapiens}
 testis-specific Y-encoded-like protein	6	TSPYL6	__SEG__	Chr2	{HomoSapiens}
 olfactory receptor	6B2	OR6B2	__SEG__	Chr2	{HomoSapiens}
	RAB6C-like	RAB6D	__SEG__	Chr2	{HomoSapiens}
 G-protein coupled receptor	1	GPR1	__SEG__	Chr2	{HomoSapiens}
 C1GALT1-specific chaperone 1-like	protein	C1GALT1C1L	__SEG__	Chr2	{HomoSapiens}
 APC membrane recruitment protein	3	AMER3	__SEG__	Chr2	{HomoSapiens}
 transmembrane protein	177	TMEM177	__SEG__	Chr2	{HomoSapiens}
	mesogenin-1	MSGN1	__SEG__	Chr2	{HomoSapiens}
 dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit	4	OST4	__SEG__	Chr2	{HomoSapiens}
 pyridoxal phosphate phosphatase	PHOSPHO2	PHOSPHO2	__SEG__	Chr2	{HomoSapiens}
 N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase	2	B3GNT2	__SEG__	Chr2	{HomoSapiens}
 G-protein coupled bile acid receptor	1	GPBAR1	__SEG__	Chr2	{HomoSapiens}
 small integral membrane protein	37	SMIM37	__SEG__	Chr2	{HomoSapiens}
 potassium voltage-gated channel subfamily F member	1	KCNF1	__SEG__	Chr2	{HomoSapiens}
 potassium voltage-gated channel subfamily S member	3	KCNS3	__SEG__	Chr2	{HomoSapiens}
 neurogenic differentiation factor	1	NEUROD1	__SEG__	Chr2	{HomoSapiens}
 transcription factor	SOX-11	SOX11	__SEG__	Chr2	{HomoSapiens}
 urocortin	preproprotein	UCN	__SEG__	Chr2	{HomoSapiens}
 secretogranin-2	precursor	SCG2	__SEG__	Chr2	{HomoSapiens}
 frizzled-7	precursor	FZD7	__SEG__	Chr2	{HomoSapiens}
 cyclin-dependent kinase 5 activator	2	CDK5R2	__SEG__	Chr2	{HomoSapiens}
 N-acetyltransferase	8	NAT8	__SEG__	Chr2	{HomoSapiens}
 rho-related GTP-binding protein RhoB	precursor	RHOB	__SEG__	Chr2	{HomoSapiens}
 insulin receptor substrate	1	IRS1	__SEG__	Chr2	{HomoSapiens}
 G-protein coupled receptor	55	GPR55	__SEG__	Chr2	{HomoSapiens}
 poly(rC)-binding protein	1	PCBP1	__SEG__	Chr2	{HomoSapiens}
 POU domain, class 3, transcription factor	3	POU3F3	__SEG__	Chr2	{HomoSapiens}
 cdc42 effector protein	3	CDC42EP3	__SEG__	Chr2	{HomoSapiens}
 probable G-protein coupled receptor	75	GPR75	__SEG__	Chr2	{HomoSapiens}
 probable G-protein coupled receptor	45	GPR45	__SEG__	Chr2	{HomoSapiens}
 forkhead box protein D4-like	1	FOXD4L1	__SEG__	Chr2	{HomoSapiens}
 protein	reprimo	RPRM	__SEG__	Chr2	{HomoSapiens}
 beta-1,3-galactosyltransferase	1	B3GALT1	__SEG__	Chr2	{HomoSapiens}
 ankyrin repeat domain-containing protein	SOWAHC	SOWAHC	__SEG__	Chr2	{HomoSapiens}
 transmembrane protein	185B	TMEM185B	__SEG__	Chr2	{HomoSapiens}
 ras-related protein	Rab-6C	RAB6C	__SEG__	Chr2	{HomoSapiens}
 uncharacterized protein	C2orf16	C2orf16	__SEG__	Chr2	{HomoSapiens}
 vesicle transport protein	SFT2C	SFT2D3	__SEG__	Chr2	{HomoSapiens}
 twist-related protein	2	TWIST2	__SEG__	Chr2	{HomoSapiens}
 methionine--tRNA ligase, mitochondrial	precursor	MARS2	__SEG__	Chr2	{HomoSapiens}
 suppressor of cytokine signaling	5	SOCS5	__SEG__	Chr2	{HomoSapiens}
 lipoyltransferase 1, mitochondrial	precursor	LIPT1	__SEG__	Chr2	{HomoSapiens}
 tigger transposable element-derived protein	1	TIGD1	__SEG__	Chr2	{HomoSapiens}
 oxoeicosanoid receptor	1	OXER1	__SEG__	Chr2	{HomoSapiens}
 tetratricopeptide repeat protein	30A	TTC30A	__SEG__	Chr2	{HomoSapiens}
 tetratricopeptide repeat protein	30B	TTC30B	__SEG__	Chr2	{HomoSapiens}
 testis-expressed protein	44	TEX44	__SEG__	Chr2	{HomoSapiens}
 retroviral-like aspartic protease	1	ASPRV1	__SEG__	Chr2	{HomoSapiens}
 coiled-coil domain-containing protein	140	CCDC140	__SEG__	Chr2	{HomoSapiens}
 proline-rich protein	30	PRR30	__SEG__	Chr2	{HomoSapiens}
 probable G-protein coupled receptor	148	GPR148	__SEG__	Chr2	{HomoSapiens}
 SERTA domain-containing protein 2 isoform	X1	SERTAD2	__SEG__	Chr2	{HomoSapiens}
 tudor domain-containing protein 15 isoform	X1	TDRD15	__SEG__	Chr2	{HomoSapiens}
 disrupted in renal carcinoma protein 1 isoform	X1	DIRC1	__SEG__	Chr2	{HomoSapiens}
 leucine-rich repeat transmembrane neuronal protein 1 isoform	X1	LRRTM1	__SEG__	Chr2	{HomoSapiens}
 C-X-C chemokine receptor type 2 isoform	X1	CXCR2	__SEG__	Chr2	{HomoSapiens}
 lysine-rich coiled-coil protein 1 isoform	X1	KRCC1	__SEG__	Chr2	{HomoSapiens}
 transmembrane protein 127 isoform	X1	TMEM127	__SEG__	Chr2	{HomoSapiens}
 atypical chemokine receptor 3 isoform	X1	ACKR3	__SEG__	Chr2	{HomoSapiens}
 small membrane A-kinase anchor protein isoform	X1	C2orf88	__SEG__	Chr2	{HomoSapiens}
 V-type proton ATPase subunit E 2 isoform	X1	ATP6V1E2	__SEG__	Chr2	{HomoSapiens}
 uncharacterized protein	LOC107985773	LOC107985773	__SEG__	Chr2	{HomoSapiens}
 melanoma-associated antigen	C1-like	LOC101927262	__SEG__	Chr2	{HomoSapiens}
 adhesive plaque matrix	protein-like	LOC102723730	__SEG__	Chr2	{HomoSapiens}
 36.4 kDa proline-rich	protein	LOC107985837	__SEG__	Chr2	{HomoSapiens}
 uncharacterized protein	LOC107985876	LOC107985876	__SEG__	Chr2	{HomoSapiens}
 uncharacterized protein	LOC107985946	LOC107985946	__SEG__	Chr2	{HomoSapiens}
 uncharacterized protein	LOC107985971	LOC107985971	__SEG__	Chr2	{HomoSapiens}
 uncharacterized protein	LOC107986004	LOC107986004	__SEG__	Chr2	{HomoSapiens}
 protein FAM84A isoform	X1	FAM84A	__SEG__	Chr2	{HomoSapiens}
 frizzled-5 isoform	X1	FZD5	__SEG__	Chr2	{HomoSapiens}
 uncharacterized protein	LOC112268321	LOC112268321	__SEG__	Chr2	{HomoSapiens}
 uncharacterized protein	FLJ45252	LOC112268437	__SEG__	Chr2	{HomoSapiens}
 thrombomodulin	precursor	THBD	__SEG__	Chr20	{HomoSapiens}
 actin-like protein 10	precursor	ACTL10	__SEG__	Chr20	{HomoSapiens}
 protein	FAM110A	FAM110A	__SEG__	Chr20	{HomoSapiens}
 somatostatin receptor type	4	SSTR4	__SEG__	Chr20	{HomoSapiens}
 humanin-like	3	MTRNR2L3	__SEG__	Chr20	{HomoSapiens}
 alternative prion protein	AltPrp	PRNP	__SEG__	Chr20	{HomoSapiens}
 MMP24 opposite	strand	MMP24OS	__SEG__	Chr20	{HomoSapiens}
 protein GDF5OS, mitochondrial	precursor	GDF5OS	__SEG__	Chr20	{HomoSapiens}
 major centromere autoantigen	B	CENPB	__SEG__	Chr20	{HomoSapiens}
 insulinoma-associated protein	1	INSM1	__SEG__	Chr20	{HomoSapiens}
 forkhead box protein	S1	FOXS1	__SEG__	Chr20	{HomoSapiens}
 CCAAT/enhancer-binding protein beta isoform	a	CEBPB	__SEG__	Chr20	{HomoSapiens}
 neuropeptides B/W receptor type	2	NPBWR2	__SEG__	Chr20	{HomoSapiens}
 transcription factor	MafB	MAFB	__SEG__	Chr20	{HomoSapiens}
 protein phosphatase 1 regulatory subunit	3D	PPP1R3D	__SEG__	Chr20	{HomoSapiens}
 transcription factor	SOX-12	SOX12	__SEG__	Chr20	{HomoSapiens}
 prion-like protein doppel	preproprotein	PRND	__SEG__	Chr20	{HomoSapiens}
 NTF2-related export protein	1	NXT1	__SEG__	Chr20	{HomoSapiens}
 adenylyltransferase and sulfurtransferase	MOCS3	MOCS3	__SEG__	Chr20	{HomoSapiens}
 melanocortin receptor	3	MC3R	__SEG__	Chr20	{HomoSapiens}
 FAST kinase domain-containing protein 5,	mitochondrial	FASTKD5	__SEG__	Chr20	{HomoSapiens}
 zinc finger CCHC domain-containing protein	3	ZCCHC3	__SEG__	Chr20	{HomoSapiens}
 class E basic helix-loop-helix protein	23	BHLHE23	__SEG__	Chr20	{HomoSapiens}
 protein	ABHD16B	ABHD16B	__SEG__	Chr20	{HomoSapiens}
 putative DPH3 homolog	B	DPH3P1	__SEG__	Chr20	{HomoSapiens}
 SCP2 sterol-binding domain-containing protein	1	SCP2D1	__SEG__	Chr20	{HomoSapiens}
 leucine-rich repeat transmembrane protein FLRT3	precursor	FLRT3	__SEG__	Chr20	{HomoSapiens}
 zinc finger SWIM domain-containing protein 1 isoform	X1	ZSWIM1	__SEG__	Chr20	{HomoSapiens}
 putative uncharacterized protein	FLJ44790	LOC105369209	__SEG__	Chr20	{HomoSapiens}
 bladder cancer-associated protein isoform	X1	BLCAP	__SEG__	Chr20	{HomoSapiens}
 uncharacterized protein	LOC107985381	LOC107985381	__SEG__	Chr20	{HomoSapiens}
 uncharacterized protein	LOC107984104	LOC107984104	__SEG__	Chr20	{HomoSapiens}
 uncharacterized protein	LOC107985410	LOC107985410	__SEG__	Chr20	{HomoSapiens}
 uncharacterized protein	LOC107987285	LOC107987285	__SEG__	Chr20	{HomoSapiens}
 uncharacterized protein	LOC107985428	LOC107985428	__SEG__	Chr20	{HomoSapiens}
 uncharacterized protein	LOC107985384	LOC107985384	__SEG__	Chr20	{HomoSapiens}
 keratin-associated protein	27-1	KRTAP27-1	__SEG__	Chr21	{HomoSapiens}
 keratin-associated protein	24-1	KRTAP24-1	__SEG__	Chr21	{HomoSapiens}
 keratin-associated protein	19-8	KRTAP19-8	__SEG__	Chr21	{HomoSapiens}
 keratin-associated protein	20-3	KRTAP20-3	__SEG__	Chr21	{HomoSapiens}
 keratin-associated protein	25-1	KRTAP25-1	__SEG__	Chr21	{HomoSapiens}
 uncharacterized protein C21orf62	precursor	C21orf62	__SEG__	Chr21	{HomoSapiens}
 keratin-associated protein	22-2	KRTAP22-2	__SEG__	Chr21	{HomoSapiens}
 keratin-associated protein	21-3	KRTAP21-3	__SEG__	Chr21	{HomoSapiens}
 uncharacterized protein	C21orf140	C21orf140	__SEG__	Chr21	{HomoSapiens}
 suppressyn	precursor	ERVH48-1	__SEG__	Chr21	{HomoSapiens}
 dnaJ homolog subfamily C member	28	DNAJC28	__SEG__	Chr21	{HomoSapiens}
 putative keratin-associated protein	20-4	KRTAP20-4	__SEG__	Chr21	{HomoSapiens}
