ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	GI	Gene.Symbol	SPOT_ID
11731911_a_at	0.178	0.0815	-1.81	-5.301027	-0.11	BC112146.1		GPR12	
11715101_s_at	0.179	0.0819	1.8	-5.305097	0.236		21264570.0	HIST1H3G	
11738664_at	0.179	0.0823	1.8	-5.309336	0.126	BC101491.1		OR6A2	
11742626_at	0.18	0.0827	1.8	-5.312843	0.114	NM_001001966.1		OR14A16	
11741926_x_at	0.18	0.0829	-1.8	-5.31488	-0.144	BC140905.1		FUT5	
11764029_at	0.18	0.0829	-1.8	-5.314973	-0.323	CB054633		CEBPD	
11729331_at	0.181	0.083	-1.8	-5.316454	-0.304	NM_006439.4		MAB21L2	
11734465_at	0.181	0.0834	1.79	-5.320035	0.0903	NM_005325.3		HIST1H1A	
11733520_at	0.181	0.0835	-1.79	-5.32156	-0.0877	NM_005604.2		POU3F2	
11735188_at	0.181	0.0836	-1.79	-5.322085	-0.111	BC030710.2		TMEM74	
11734366_x_at	0.183	0.0843	-1.79	-5.329327	-0.099	NM_174900.3		ZFP42	
11749488_a_at	0.183	0.0845	1.79	-5.331017	0.0757	AK299661.1		PCDHB6	
11724247_a_at	0.184	0.0852	-1.78	-5.337879	-0.177	BG057681		TMEM127	
11759354_s_at	0.185	0.0857	1.78	-5.343228	0.0964	BC095544.1		GPR32	
11751580_a_at	0.185	0.0859	1.78	-5.344994	0.129	AK296773.1		PLPP6	
11742572_at	0.185	0.086	1.78	-5.346319	0.103	NM_001004735.1		OR5D14	
11727268_at	0.186	0.0861	1.78	-5.346948	0.292	NM_032367.2		ZBED3	
11736244_s_at	0.186	0.0862	-1.78	-5.3474	-0.421	NM_003512.3		HIST1H2AC	
11751464_s_at	0.186	0.0862	1.78	-5.347936	0.197	AK303301.1		H2AFJ	
11759173_at	0.187	0.0868	-1.77	-5.353399	-0.0975	AB096955.1		KRTAP20-1	
11755891_a_at	0.187	0.0868	1.77	-5.354108	0.137	AK123938.1		ERVFRD-1	
11737855_at	0.187	0.0869	-1.77	-5.354841	-0.189	BC074785.2		P2RY1	
11731946_at	0.187	0.0871	1.77	-5.356345	0.147	BC118666.1		PAQR9	
11729774_at	0.188	0.0875	-1.77	-5.360265	-0.0937	NM_018940.2		PCDHB7	
11744246_at	0.188	0.0877	-1.77	-5.362474	-0.115	CO246313		KCNE2	
11752511_a_at	0.189	0.0882	1.77	-5.366807	0.141	M91467.1		HTR1E	
11715235_x_at	0.189	0.0883	1.76	-5.368077	0.171		148229490.0	UQCRHL	
11730568_at	0.189	0.0883	1.76	-5.368455	0.0871	NM_152901.2		PYDC1	
11742558_at	0.19	0.0888	1.76	-5.372686	0.116	NM_001004137.1		OR52M1	
11735985_at	0.19	0.0889	-1.76	-5.373829	-0.0791	NM_176883.2		TAS2R41	
11733012_at	0.192	0.0899	-1.76	-5.383623	-0.107	NM_000318.2		PEX2	
11735851_at	0.193	0.0906	1.75	-5.390082	0.0783	NM_013940.2		OR10H1	
11740725_at	0.194	0.0911	1.75	-5.394119	0.0902	NM_000307.3		POU3F4	
11742397_at	0.194	0.0914	1.75	-5.396941	0.0659	NM_012403.1		ANP32C	
11731298_at	0.194	0.0915	-1.75	-5.398088	-0.0908	NM_021191.2		NEUROD4	
11738386_at	0.195	0.0917	-1.74	-5.400168	-0.238	BC113625.1		ATOH1	
11741169_at	0.195	0.0922	1.74	-5.403869	0.138	BC094710.1		MC2R	
11724750_at	0.196	0.0923	1.74	-5.405455	0.195	BC028239.1		CSTF2T	
11735286_at	0.196	0.0926	1.74	-5.408374	0.157	NM_001145113.1		MYADML2	
11730465_at	0.196	0.0927	-1.74	-5.408664	-0.421	NM_000891.2		KCNJ2	
11742565_at	0.196	0.0928	-1.74	-5.409883	-0.13	NM_001004755.1		OR51L1	
11738020_at	0.197	0.093	-1.74	-5.411975	-0.132	BC101509.1		RXFP4	
11738598_at	0.197	0.0934	1.74	-5.415018	0.0904	BC130349.1		RNASE12	
11742007_x_at	0.197	0.0934	1.74	-5.41542	0.131	BC120941.1		KRTAP12-2	
11731424_x_at	0.198	0.0937	1.73	-5.417832	0.315	NM_001557.2		CXCR2	
11729634_at	0.198	0.0939	1.73	-5.41934	0.0973	NM_178553.3		PRR30	
11715947_a_at	0.198	0.0939	-1.73	-5.419385	-0.37	BI493002		KCTD12	
11742364_at	0.199	0.0941	1.73	-5.421262	0.122	BC140745.1		OR5AR1	
11719543_a_at	0.199	0.0942	-1.73	-5.422624	-0.157	NM_016210.2		C3orf18	
11758655_s_at	0.199	0.0946	-1.73	-5.426098	-0.173	AI961638		RRAGA	
11731693_at	0.201	0.0959	-1.72	-5.436818	-0.462	NM_021052.2		HIST1H2AE	
11742562_at	0.204	0.0975	1.71	-5.450828	0.103	NM_001004465.1		OR10H4	
11742576_at	0.204	0.0976	1.71	-5.451893	0.112	NM_001005489.1		OR5B17	
11729035_at	0.205	0.0981	1.71	-5.455866	0.254	BC015343.2		ITPRIPL2	
11741420_a_at	0.205	0.0981	1.71	-5.455886	0.0963	NM_006794.2		GPR75	
11718176_at	0.206	0.0991	1.7	-5.464044	0.167	NM_033309.2		B3GNT9	
11738266_at	0.207	0.0994	1.7	-5.466622	0.112	NM_054021.1		GPR101	
11730157_at	0.207	0.0994	1.7	-5.46731	0.0937	NM_004391.2		CYP8B1	
11729560_at	0.207	0.0995	-1.7	-5.467833	-0.121	BC117226.1		FOXL1	
11750430_s_at	0.207	0.0997	1.7	-5.469878	0.0872	AY762229.1		KBTBD11	
11737166_at	0.209	0.1	1.7	-5.47604	0.0671	BC142957.1		ANKRD34B	
11739980_a_at	0.211	0.102	1.69	-5.488274	0.132	BC060790.1		SOCS4	
11724948_at	0.212	0.102	1.69	-5.491835	0.304	NM_133467.2		CITED4	
11729673_s_at	0.213	0.104	1.68	-5.501286	0.211	NM_001145191.1		FAM200B	
11734613_x_at	0.214	0.104	1.68	-5.502219	0.135	NM_198687.1		KRTAP10-4	
11738572_at	0.214	0.104	-1.68	-5.504992	-0.116	BC101503.1		CLDN17	
11728912_at	0.215	0.105	-1.68	-5.510997	-0.0739	NM_003936.3		CDK5R2	
11736993_at	0.216	0.105	-1.67	-5.511595	-0.0814	BC112135.1		DNAJB7	
11725493_s_at	0.216	0.105	-1.67	-5.512256	-0.434	NM_001012978.2		BEX5	
11735442_s_at	0.217	0.106	-1.67	-5.519347	-0.0714	BC108687.1		ZNF781	
11721099_at	0.218	0.106	-1.67	-5.52249	-0.514	NM_004054.2		C3AR1	
11737869_at	0.218	0.106	-1.67	-5.523241	-0.0937	NM_018485.1		C5AR2	
11730831_x_at	0.219	0.107	1.66	-5.527146	0.233	NM_032138.4		KBTBD7	
11732455_at	0.219	0.107	1.66	-5.529167	0.395	AK292812.1		KCNJ15	
11752810_a_at	0.221	0.108	1.66	-5.537645	0.131	AK300180.1		DOLK	
11735866_at	0.221	0.109	1.66	-5.539452	0.102	NM_013936.3		OR12D2	
11742649_at	0.222	0.109	1.66	-5.540811	0.121	NM_001101389.1		CLDN25	
11759101_at	0.222	0.109	1.65	-5.543822	0.0912	CB853703		UBXN10	
11737072_at	0.223	0.109	1.65	-5.54629	0.0999	BC125137.1		DIRC1	
11742003_at	0.223	0.11	-1.65	-5.548019	-0.112	NM_176881.2		TAS2R39	
11733946_at	0.224	0.11	1.65	-5.551417	0.143	BC012362.1		RAP2B	
11725851_at	0.226	0.111	1.64	-5.560509	0.121	NM_020807.1		ZNF319	
11738405_a_at	0.226	0.111	1.64	-5.56092	0.156	BC105069.1		KRTAP1-1	
11736563_at	0.226	0.112	1.64	-5.562476	0.239	NM_014803.3		ZNF518A	
11732115_at	0.226	0.112	1.64	-5.56374	0.101	NM_181611.1		KRTAP19-5	
11759167_at	0.226	0.112	1.64	-5.564009	0.125	NM_003523.2		HIST1H2BE	
11729265_at	0.227	0.112	1.64	-5.564676	0.177	NM_006945.4		SPRR2D	
11738060_s_at	0.228	0.113	-1.64	-5.572835	-0.142	NM_003543.3		HIST1H4H	
11758325_s_at	0.229	0.113	1.63	-5.574464	0.258	BF790656		TOB1	
11726958_at	0.23	0.114	1.63	-5.579293	0.13	NM_203376.1		TMEM81	
11751044_s_at	0.23	0.114	1.63	-5.581197	0.109	AK304483.1		FOXL2NB	
11764030_x_at	0.23	0.114	-1.63	-5.582173	-0.287	CB054633		CEBPD	
11734372_at	0.231	0.115	-1.63	-5.586795	-0.161	NM_203397.1		MBLAC1	
11738495_at	0.232	0.116	1.62	-5.590826	0.102	BC101587.1		OR7A17	
11724433_at	0.233	0.116	-1.62	-5.594352	-0.169	NM_001143978.1		ZCCHC18	
11734469_a_at	0.234	0.117	1.62	-5.599005	0.113	NM_212558.2		TMEM215	
11732048_at	0.234	0.117	1.62	-5.600114	0.0788	NM_016568.2		RXFP3	
11740651_at	0.234	0.117	-1.62	-5.600746	-0.171	BC109031.2		KLHL34	
11742313_at	0.234	0.117	1.62	-5.601067	0.099	BC136986.1		OR56A4	
11731241_at	0.234	0.117	1.62	-5.601379	0.117	BC129822.1		GRHL2	
11731914_at	0.236	0.118	-1.61	-5.608158	-0.121	NM_020703.2		AMIGO1	
11741854_at	0.236	0.118	1.61	-5.608977	0.105	BC109388.1		CCDC140	
11763120_at	0.237	0.119	-1.61	-5.612621	-0.0865	U96291.1		IGKC	
11742553_at	0.237	0.119	-1.61	-5.613838	-0.0929	NM_001001913.1		OR52N1	
11737731_at	0.239	0.12	1.6	-5.624047	0.0696	NM_001017930.1		DCAF8L1	
11759684_at	0.24	0.121	-1.6	-5.627649	-0.0849	AY942028.1		IGKC	
11718824_at	0.242	0.122	-1.59	-5.634408	-0.221	NM_001007189.1		IGIP	
11740402_at	0.242	0.122	-1.59	-5.637377	-0.0959	BM998717		SMCO3	
11752722_a_at	0.243	0.123	1.59	-5.640836	0.137	AK304099.1		FAM122A	
11732230_a_at	0.244	0.124	1.59	-5.646122	0.0818	AK289619.1		NEUROD6	
11738194_at	0.246	0.125	1.58	-5.653018	0.0855	NM_016943.2		TAS2R3	
11742517_x_at	0.246	0.125	1.58	-5.653592	0.0727	NM_001004688.1		OR2M2	
11736212_x_at	0.246	0.125	1.58	-5.654163	0.269	NM_024026.4		MRPL57	
11737109_a_at	0.247	0.125	-1.58	-5.655351	-0.113	NM_030883.3		OR2H1	
11742539_at	0.247	0.125	-1.58	-5.657401	-0.0707	NM_001004477.1		OR10X1	
11744023_at	0.248	0.126	1.58	-5.660438	0.121	BI524128		ADAT3	
11754310_a_at	0.248	0.126	-1.58	-5.662543	-0.215	AK097067.1		HDHD3	
11723557_a_at	0.248	0.126	1.58	-5.662559	0.266	BC101716.1		DCAF16	
11745203_a_at	0.249	0.127	1.57	-5.666251	0.165	BC064937.1		RMI1	
11735776_x_at	0.249	0.127	-1.57	-5.668224	-0.152	NM_003541.2		HIST1H4K	
11724385_a_at	0.25	0.127	1.57	-5.669351	0.206	NM_001134793.1		HYLS1	
11743444_s_at	0.25	0.127	-1.57	-5.67073	-0.367	CX756248		RHOB	
11722290_a_at	0.252	0.128	-1.57	-5.677487	-0.178	AI745225		ZBTB43	
11738789_at	0.253	0.13	1.56	-5.684088	0.107	BC126278.1		HIST1H4G	
11722274_a_at	0.254	0.13	1.56	-5.685559	0.115	BC117670.1		ZBED4	
11740969_x_at	0.254	0.13	1.56	-5.68712	0.0745	NM_018958.2		NPAP1	
11735462_x_at	0.255	0.13	-1.56	-5.690026	-0.0886	NM_001017418.1		SPRR2B	
11759172_at	0.255	0.131	-1.56	-5.690085	-0.0869	BC117197.1		KRTAP19-4	
11738499_at	0.255	0.131	1.56	-5.692214	0.0891	BC137048.1		OR9A2	
11740124_at	0.256	0.131	1.55	-5.69386	0.151	NM_003514.2		HIST1H2AM	
11758656_s_at	0.256	0.131	1.55	-5.696227	0.157	AA954483		UBQLN2	
11742632_at	0.257	0.132	1.55	-5.698594	0.0906	NM_001004726.1		OR4X1	
11732760_at	0.258	0.133	-1.55	-5.706364	-0.29	BC063534.1		GAPT	
11738678_at	0.259	0.133	-1.55	-5.707014	-0.0587	BC136822.1		OR8G5	
11732664_at	0.259	0.134	1.54	-5.709226	0.109	NM_203405.1		KRTAP26-1	
11733506_at	0.259	0.134	1.54	-5.710862	0.0908	NM_002367.2		MAGEB4	
11723018_at	0.259	0.134	1.54	-5.710907	0.163	NM_014793.3		LCMT2	
11734280_x_at	0.26	0.134	-1.54	-5.712424	-0.0908	NM_001145346.1		RBMXL3	
11742150_at	0.26	0.134	-1.54	-5.71279	-0.0989	NM_001005226.2		OR2B3	
11741617_a_at	0.26	0.134	1.54	-5.713603	0.111	NM_198281.2		GPRIN3	
11725782_at	0.26	0.134	-1.54	-5.713805	-0.176	BC067873.1		ANXA2R	
11759390_at	0.261	0.135	-1.54	-5.718231	-0.103	BC136889.1		OR2A14	
11759273_x_at	0.261	0.135	1.54	-5.71894	0.151	BC101653.1		HIST1H2BI	
11750369_x_at	0.262	0.136	-1.53	-5.722615	-0.147	AB126071.1		KRTAP5-2	
11721484_at	0.264	0.137	1.53	-5.729515	0.122	AI863906		CCDC85B	
11723926_x_at	0.265	0.138	1.53	-5.73248	0.141	BC062301.1		PNMA2	
11731294_at	0.265	0.138	1.53	-5.734056	0.08	AK299479.1		SLITRK1	
11758641_s_at	0.265	0.138	1.53	-5.734776	0.209	H19325		BLCAP	
11755838_a_at	0.266	0.139	1.52	-5.738162	0.234	AK021915.1		PCDHB13	
11740595_at	0.268	0.14	1.52	-5.74614	0.0691	BC128030.1		EDDM3B	
11730364_a_at	0.269	0.14	1.52	-5.748506	0.191	BQ017843		HRH1	
11734832_at	0.269	0.14	1.52	-5.749087	0.0672	NM_005295.2		GPR22	
11744525_s_at	0.269	0.141	-1.52	-5.749748	-0.141	BC036066.1		MTERF2	
11738154_at	0.27	0.141	-1.51	-5.753829	-0.128	NM_001136509.1		ZNF843	
11742560_at	0.27	0.142	1.51	-5.755709	0.108	NM_001005278.1		OR6N2	
11721083_x_at	0.271	0.142	-1.51	-5.756408	-0.0931	NM_017924.2		C14orf119	
11738587_at	0.272	0.142	-1.51	-5.760462	-0.114	BC137027.1		OR10A4	
11754936_a_at	0.273	0.143	1.5	-5.765468	0.123	AK000678.1		C14orf119	
11732842_at	0.273	0.144	-1.5	-5.766679	-0.078	NM_020697.2		KCNS2	
11753988_a_at	0.274	0.144	1.5	-5.769045	0.313	BC004205.2		SPRY2	
11738761_x_at	0.274	0.144	-1.5	-5.769813	-0.0872	BC136944.1		OR2M7	
11755950_a_at	0.275	0.145	-1.5	-5.773096	-0.257	AK098658.1		CCDC71	
11726786_at	0.275	0.145	-1.5	-5.773141	-0.107	BF592882		NKAPL	
11757849_s_at	0.275	0.145	1.5	-5.773216	0.505	BU784653		PNMA2	
11732116_x_at	0.275	0.145	1.5	-5.774532	0.0916	NM_181611.1		KRTAP19-5	
11757651_x_at	0.275	0.145	1.5	-5.775844	0.0957	AI991267		OST4	
11717099_at	0.276	0.146	-1.5	-5.778544	-0.352	NM_080593.1		HIST1H2BK	
11730426_a_at	0.277	0.146	1.49	-5.781332	0.092	NM_181710.3		ZNRF4	
11742335_at	0.277	0.146	1.49	-5.782051	0.0851	BC140729.1		OR2D2	
11738749_at	0.277	0.146	1.49	-5.782196	0.0836	BC136972.1		OR52E4	
11748025_s_at	0.277	0.146	-1.49	-5.782333	-0.207	BT006732.1		GJB2	
11742357_at	0.278	0.147	1.49	-5.787032	0.111	BC140731.1		OR10Q1	
11718394_at	0.279	0.148	-1.49	-5.790894	-0.34	BG491844		JUN	
11733504_at	0.28	0.148	-1.49	-5.792476	-0.0732	NM_007264.3		GPR182	
11740341_x_at	0.281	0.149	1.48	-5.797668	0.0693	AK297479.1		ZNF491	
11738751_x_at	0.282	0.15	1.48	-5.80045	0.0679	BC136826.1		OR13C2	
11741917_at	0.282	0.15	-1.48	-5.803585	-0.0835	NM_030959.2		OR12D3	
11733703_x_at	0.283	0.151	-1.48	-5.804992	-0.0785	NM_207371.3		SKIDA1	
11728556_at	0.283	0.151	1.48	-5.80586	0.103	NM_002236.4		KCNF1	
11742178_x_at	0.283	0.151	-1.48	-5.807207	-0.126	BC125198.1		KRTAP12-4	
11738768_at	0.284	0.152	1.47	-5.810388	0.0901	BC137002.1		OR4F6	
11754542_x_at	0.285	0.152	-1.47	-5.812136	-0.194	DB308666		ZNF594	
11726087_at	0.285	0.152	-1.47	-5.81353	-0.261	NM_006308.1		HSPB3	
11739140_a_at	0.285	0.152	1.47	-5.814234	0.524	M88107.1		FPR2	
11740810_at	0.285	0.152	1.47	-5.814276	0.121	BC146920.1		OR7E24	
11720846_at	0.286	0.153	-1.47	-5.816333	-0.21	NM_020404.2		CD248	
11715251_at	0.286	0.153	-1.47	-5.818052	-0.258		23238227.0	CHST7	
11727146_at	0.286	0.153	1.47	-5.818472	0.3	BC000181.2		GPR160	
11726166_at	0.287	0.153	-1.47	-5.819588	-0.458	NM_053042.2		ZNF518B	
11723927_at	0.287	0.153	1.47	-5.819752	0.121	BC047515.1		PNMA2	
11716867_at	0.287	0.154	1.46	-5.822499	0.146	NM_018708.2		FEM1A	
11717592_at	0.287	0.154	1.46	-5.823024	0.0898	NM_001810.5		CENPB	
11751390_a_at	0.29	0.156	-1.46	-5.831089	-0.0937	AY853711.1		CYSLTR2	
11727129_at	0.29	0.156	1.46	-5.831632	0.364	NM_002364.4		MAGEB2	
11743442_s_at	0.29	0.156	1.46	-5.832065	0.113	BI669115		RHOB	
11716925_at	0.291	0.156	1.46	-5.834674	0.0934	BC101737.1		PURB	
11737673_at	0.291	0.157	1.46	-5.835407	0.0684	NM_001012977.2		PABPC1L2A	
11730330_a_at	0.291	0.157	1.45	-5.837733	0.104	AK292310.1		DIO3	
11722227_a_at	0.292	0.157	1.45	-5.839154	0.18	BC005056.1		DNAJC30	
11740284_a_at	0.292	0.157	-1.45	-5.839278	-0.128	BC132781.1		ZFP2	
11721424_at	0.292	0.158	-1.45	-5.840834	-0.131	AB043702.1		FZD5	
11720297_at	0.293	0.158	-1.45	-5.843966	-0.213	NM_024613.2		PLEKHF2	
11724598_at	0.293	0.158	1.45	-5.844427	0.113	NM_152792.2		ASPRV1	
11745692_x_at	0.294	0.159	1.45	-5.847279	0.125	BC130562.1		KRTAP4-11	
11715168_s_at	0.294	0.159	-1.45	-5.848951	-0.131		5453935.0	POU3F3	
11740172_a_at	0.295	0.16	1.44	-5.851099	0.0928	AK290194.1		SOCS5	
11735685_at	0.296	0.16	-1.44	-5.854728	-0.0789	NM_178353.1		LCE1E	
11728563_at	0.296	0.161	1.44	-5.855431	0.301	NM_004472.2		FOXD1	
11742355_at	0.296	0.161	1.44	-5.855858	0.0987	BC136742.1		OR2A2	
11738767_at	0.297	0.161	1.44	-5.856423	0.0881	BC136866.1		OR8B4	
11724117_x_at	0.297	0.161	-1.44	-5.856917	-0.52	AI038997		SAMD9L	
11719972_at	0.297	0.161	-1.44	-5.858295	-0.182	NM_005138.2		SCO2	
11740537_x_at	0.297	0.161	1.44	-5.859512	0.0907	AB096944.1		KRTAP19-3	
11742371_at	0.298	0.162	1.44	-5.861197	0.0741	BC151143.1		OR2AG1	
11739139_s_at	0.298	0.162	-1.44	-5.861605	-0.11	AB055622.1		RNF26	
11734914_a_at	0.299	0.163	-1.43	-5.865298	-0.0995	NM_145053.4		UBQLNL	
11742555_at	0.301	0.164	1.43	-5.870085	0.08	NM_001001956.1		OR13C9	
11738759_at	0.302	0.164	1.43	-5.873797	0.0786	BC137007.1		OR8I2	
11737125_a_at	0.302	0.164	-1.43	-5.873908	-0.117	NM_001006630.1		CHRM2	
11748896_s_at	0.302	0.165	-1.43	-5.87488	-0.333	AK304461.1		ACKR4	
11715175_x_at	0.302	0.165	-1.43	-5.875077	-0.0821		63053514.0	KRTAP10-3	
11715181_x_at	0.302	0.165	-1.43	-5.876066	-0.102		154759250.0	KRTAP10-9	
11742166_at	0.302	0.165	1.43	-5.876106	0.103	AB096962.1		KRTAP7-1	
11738926_x_at	0.303	0.165	1.42	-5.877385	0.0714	NM_001005922.1		KRTAP5-1	
11742177_at	0.303	0.165	-1.42	-5.878296	-0.123	BC125198.1		KRTAP12-4	
11753509_a_at	0.303	0.165	1.42	-5.878423	0.559	BC134421.1		FOXC1	
11747965_a_at	0.305	0.167	-1.42	-5.88453	-0.0661	AK299717.1		SKIDA1	
11733369_x_at	0.305	0.167	1.42	-5.886423	0.148	NM_003495.2		HIST1H4I	
11720179_s_at	0.306	0.167	1.42	-5.887761	0.119	BE383894		DDX28	
11738762_at	0.306	0.168	1.42	-5.88963	0.0752	BC151146.1		OR6Q1	
11735457_at	0.306	0.168	-1.42	-5.889893	-0.106	NM_198988.1		LENG9	
11736580_a_at	0.307	0.168	1.41	-5.89051	0.164	BC109101.1		GCNT1	
11730648_at	0.307	0.168	1.41	-5.890859	0.119	NM_000174.3		GP9	
11734511_at	0.307	0.168	1.41	-5.891269	0.0955	BC128211.1		ASCL4	
11731670_a_at	0.307	0.169	1.41	-5.893426	0.0776	NM_018939.2		PCDHB6	
11763671_at	0.308	0.169	-1.41	-5.895324	-0.135	AK130208.1		A4GALT	
11742343_at	0.308	0.169	1.41	-5.895669	0.0833	BC140947.1		OR4K5	
11742540_at	0.308	0.169	1.41	-5.896302	0.107	NM_001005164.1		OR52E2	
11737654_at	0.309	0.169	1.41	-5.897644	0.122	BC137143.1		OR6F1	
11738360_x_at	0.31	0.17	-1.41	-5.901859	-0.0777	NM_001143883.1		PPIAL4C	
11738925_at	0.31	0.17	1.41	-5.901918	0.0769	NM_001005922.1		KRTAP5-1	
11737291_a_at	0.311	0.171	1.4	-5.904428	0.166	AF370886.1		OXGR1	
11735942_at	0.311	0.171	1.4	-5.90583	0.0802	NM_003539.3		HIST1H4D	
11730334_at	0.312	0.172	1.4	-5.909152	0.12	NM_080603.3		ZSWIM1	
11728339_at	0.312	0.172	-1.4	-5.909168	-0.114	BC009263.2		CENPBD1	
11735158_a_at	0.312	0.172	1.4	-5.909242	0.1	AK297216.1		ZNF501	
11759277_at	0.313	0.173	1.4	-5.911797	0.0683	BC136926.1		OR2T34	
11747688_a_at	0.313	0.173	1.4	-5.911844	0.115	AK294695.1		ZNF623	
11745577_at	0.313	0.173	-1.4	-5.913567	-0.0674	BC137155.1		C3orf56	
11741937_at	0.316	0.175	-1.39	-5.921495	-0.0759	AB126080.1		KRTAP5-11	
11742388_at	0.316	0.175	1.39	-5.921914	0.0838	NM_001005492.1		OR5J2	
11756604_a_at	0.316	0.175	-1.39	-5.922321	-0.103	BC098138.1		PCDHB2	
11734450_at	0.316	0.175	1.39	-5.923798	0.0715	NM_138289.3		ACTRT1	
11737447_at	0.318	0.177	1.39	-5.930372	0.0922	BC137217.1		YY2	
11733391_at	0.319	0.177	-1.38	-5.933388	-0.0733	NM_000686.4		AGTR2	
11749829_s_at	0.319	0.178	1.38	-5.934422	0.118	AK303207.1		SKIDA1	
11752167_a_at	0.32	0.178	1.38	-5.935668	0.101	AF424815.1		SOCS4	
11725354_at	0.32	0.178	1.38	-5.938083	0.0893	AF059751.1		EPM2AIP1	
11759136_at	0.321	0.179	-1.38	-5.939836	-0.091	BC045608.1		PABPC3	
11727552_at	0.321	0.179	1.38	-5.940818	0.216	L37882.1		FZD2	
11734500_at	0.322	0.179	1.38	-5.941684	0.082	NM_001042506.1		PABPC1L2B	
11735943_at	0.322	0.18	1.38	-5.943764	0.0635	NM_181612.2		KRTAP19-6	
11735981_at	0.322	0.18	1.37	-5.944098	0.0894	NM_012373.1		OR3A3	
11753433_a_at	0.323	0.18	1.37	-5.945616	0.0809	AK294352.1		C1orf216	
11742446_s_at	0.323	0.18	1.37	-5.946714	0.104	NM_199244.2		FOXD4L5	
11732815_at	0.324	0.181	1.37	-5.949357	0.082	NM_001080513.1		CPN2	
11762886_at	0.324	0.181	-1.37	-5.949955	-0.0857	BC137050.1		OR13H1	
11736994_at	0.324	0.181	-1.37	-5.950126	-0.0699	NM_145174.1		DNAJB7	
11722237_at	0.325	0.182	1.37	-5.952652	0.195	BC067815.1		BLOC1S4	
11715774_s_at	0.326	0.183	1.37	-5.955775	0.163	NM_018285.2		IMP3	
11738686_at	0.327	0.183	-1.36	-5.958195	-0.0904	BC136857.1		OR1L3	
11730363_a_at	0.327	0.183	1.36	-5.958998	0.176	AK289412.1		HRH1	
11738319_at	0.328	0.184	-1.36	-5.961416	-0.0845	BC126373.1		TAL2	
11738744_at	0.328	0.184	1.36	-5.961885	0.108	BC136853.1		OR4C3	
11724424_at	0.328	0.184	-1.36	-5.962066	-0.163	NM_003485.3		GPR68	
11731256_at	0.328	0.185	1.36	-5.963853	0.129	NM_012274.1		HYPM	
11732703_s_at	0.329	0.185	1.36	-5.965538	0.0767	NM_019599.2		TAS2R1	
11738711_at	0.331	0.186	-1.35	-5.971383	-0.0625	BC136707.1		OR51B5	
11728046_at	0.331	0.187	-1.35	-5.973277	-0.0904	NM_031909.2		C1QTNF4	
11758095_s_at	0.331	0.187	1.35	-5.973285	0.497	T90501		FPR1	
11742548_at	0.332	0.187	1.35	-5.974088	0.0784	NM_001004760.2		OR51V1	
11742509_at	0.332	0.187	-1.35	-5.974366	-0.11	NM_001001920.1		OR4C15	
11751039_a_at	0.332	0.187	1.35	-5.975009	0.267	AK297898.1		PRMT6	
11741074_s_at	0.333	0.188	1.35	-5.978055	0.173	NM_033418.1		METTL18	
11738137_at	0.333	0.188	1.35	-5.97964	0.0785	NM_054030.2		MRGPRX2	
11740740_at	0.333	0.189	1.35	-5.980271	0.0814	BC109024.1		ADAM21	
11736011_s_at	0.334	0.189	-1.35	-5.98126	-0.0863	BP365486		MGAT2	
11720993_at	0.334	0.189	-1.35	-5.981297	-0.401	NM_003106.2		SOX2	
11739267_a_at	0.334	0.189	1.35	-5.982263	0.0823	BC067464.1		GPR61	
11741593_a_at	0.334	0.189	1.35	-5.982755	0.0624	BC069140.1		LENEP	
11715174_s_at	0.335	0.19	-1.34	-5.984305	-0.0871		63053511.0	KRTAP10-1	
11741446_s_at	0.335	0.19	-1.34	-5.98455	-0.135	NM_001100816.1		MED7	
11733357_at	0.335	0.19	1.34	-5.986537	0.112	NM_152610.2		CCDC185	
11725543_a_at	0.337	0.191	-1.34	-5.990866	-0.0797	BC103952.1		SP6	
11732780_at	0.337	0.191	1.34	-5.991856	0.0609	NM_023920.2		TAS2R13	
11742342_at	0.338	0.192	1.34	-5.993654	0.0818	BC140748.1		OR4A16	
11730466_a_at	0.338	0.192	1.34	-5.994076	0.0727	U24055.1		KCNJ2	
11740329_at	0.339	0.193	1.33	-5.996697	0.0802	AK292271.1		RBMXL2	
11738301_at	0.339	0.193	1.33	-5.997402	0.0757	BC113078.1		KRTAP3-1	
11742633_at	0.34	0.193	1.33	-5.998092	0.0814	NM_001004714.1		OR4K13	
11727942_a_at	0.34	0.193	-1.33	-5.998684	-0.437	NM_002030.3		FPR3	
11733016_at	0.34	0.194	1.33	-6.000585	0.0839	NM_005893.2		CCIN	
11752666_a_at	0.341	0.194	-1.33	-6.001056	-0.171	AF368169.1		B3GNT5	
11757846_s_at	0.341	0.194	1.33	-6.001594	0.404	DN913107		ARMCX3	
11725257_at	0.342	0.195	1.33	-6.004484	0.339	NM_007197.2		FZD10	
11759131_at	0.342	0.195	1.33	-6.004519	0.31	BC016677.1		HIST1H2AG	
11733704_at	0.342	0.195	-1.33	-6.006254	-0.192	BC157828.1		TMEM229A	
11719118_a_at	0.345	0.197	-1.32	-6.014201	-0.36	NM_006670.3		TPBG	
11752410_a_at	0.345	0.197	1.32	-6.015675	0.0701	AF189270.1		PBOV1	
11745809_s_at	0.346	0.198	1.32	-6.01899	0.171	BX378160		KIAA0040	
