GeneName	count	Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Transcript count	Transcript length (including UTRs and CDS)	Length/#Mod
DHRS4L2	1	ENSG00000292270	ENSG00000292270.1	HG1_PATCH	270920	312726	1	DHRS4L2	7	784	784.0
B4GALNT3	7	ENSG00000139044	ENSG00000139044.12	12	459939	563509	1	B4GALNT3	7	5493	784.7142857142857
NEDD4L	11	ENSG00000049759	ENSG00000049759.20	18	58044226	58401540	1	NEDD4L	62	8633	784.8181818181819
ARNT	6	ENSG00000143437	ENSG00000143437.21	1	150809713	150876708	-1	ARNT	12	4710	785.0
COQ10A	2	ENSG00000135469	ENSG00000135469.14	12	56266890	56270966	1	COQ10A	10	1570	785.0
PPP1R13B	7	ENSG00000088808	ENSG00000088808.18	14	103733195	103847575	-1	PPP1R13B	18	5500	785.7142857142857
PHKA1	8	ENSG00000067177	ENSG00000067177.15	X	72578814	72714319	-1	PHKA1	5	6286	785.75
C1orf116	7	ENSG00000182795	ENSG00000182795.13	1	207018522	207032756	-1	C1orf116	2	5501	785.8571428571429
WDR46	3	ENSG00000226916	ENSG00000226916.8	HSCHR6_MHC_DBB_CTG1	4522622	4533045	-1	WDR46	10	2358	786.0
WDR76	5	ENSG00000092470	ENSG00000092470.12	15	43826980	43868412	1	WDR76	4	3932	786.4
CD302	5	ENSG00000241399	ENSG00000241399.7	2	159768628	159798255	-1	CD302	4	3932	786.4
RPS3AP20	1	ENSG00000213757	ENSG00000213757.3	5	79284132	79284918	-1	RPS3AP20	1	787	787.0
UFSP2	3	ENSG00000109775	ENSG00000109775.11	4	185399537	185425979	-1	UFSP2	9	2361	787.0
RPS4XP1	1	ENSG00000214203	ENSG00000214203.4	12	100009052	100009838	-1	RPS4XP1	1	787	787.0
SCNN1A	4	ENSG00000111319	ENSG00000111319.13	12	6346843	6377730	-1	SCNN1A	23	3149	787.25
MUS81	3	ENSG00000172732	ENSG00000172732.12	11	65857126	65867653	1	MUS81	17	2364	788.0
PLCG1	9	ENSG00000124181	ENSG00000124181.15	20	41136960	41196801	1	PLCG1	23	7092	788.0
FUBP3	4	ENSG00000107164	ENSG00000107164.17	9	130578965	130638352	1	FUBP3	8	3153	788.25
SFT2D2	14	ENSG00000213064	ENSG00000213064.10	1	168225938	168253021	1	SFT2D2	4	11040	788.5714285714286
ZDHHC17	6	ENSG00000186908	ENSG00000186908.15	12	76764103	76853696	1	ZDHHC17	16	4732	788.6666666666666
SERPINE1	4	ENSG00000106366	ENSG00000106366.9	7	101127104	101139247	1	SERPINE1	1	3156	789.0
UBR2	10	ENSG00000024048	ENSG00000024048.11	6	42564029	42693505	1	UBR2	3	7891	789.1
SLC9A1	6	ENSG00000090020	ENSG00000090020.11	1	27098809	27166981	-1	SLC9A1	6	4737	789.5
SLC30A4	9	ENSG00000104154	ENSG00000104154.7	15	45479606	45522755	-1	SLC30A4	2	7110	790.0
NAGK	3	ENSG00000124357	ENSG00000124357.13	2	71064344	71079808	1	NAGK	29	2371	790.3333333333334
FBXO9	6	ENSG00000112146	ENSG00000112146.17	6	53051991	53100873	1	FBXO9	13	4743	790.5
NT5M	2	ENSG00000205309	ENSG00000205309.14	17	17303335	17347663	1	NT5M	7	1581	790.5
DCAF10	10	ENSG00000122741	ENSG00000122741.16	9	37800554	37867666	1	DCAF10	5	7906	790.6
SINHCAF	4	ENSG00000276371	ENSG00000276371.2	HSCHR12_4_CTG2	171378	217852	-1	SINHCAF	9	3163	790.75
ARHGAP32	13	ENSG00000134909	ENSG00000134909.19	11	128965060	129279324	-1	ARHGAP32	9	10280	790.7692307692307
SNORD3B-2	1	ENSG00000262074	ENSG00000262074.7	17	19063346	19064136	-1	SNORD3B-2	1	791	791.0
ZNF480	6	ENSG00000198464	ENSG00000198464.14	19	52297169	52325922	1	ZNF480	6	4746	791.0
FHL2	2	ENSG00000115641	ENSG00000115641.19	2	105357712	105438513	-1	FHL2	12	1582	791.0
TMEM139	3	ENSG00000178826	ENSG00000178826.11	7	143279957	143288048	1	TMEM139	9	2375	791.6666666666666
CCDC138	3	ENSG00000163006	ENSG00000163006.12	2	108786757	108885477	1	CCDC138	8	2375	791.6666666666666
CCDC18	6	ENSG00000122483	ENSG00000122483.18	1	93179919	93278730	1	CCDC18	14	4752	792.0
PDSS1	2	ENSG00000148459	ENSG00000148459.16	10	26697701	26746798	1	PDSS1	4	1584	792.0
RPL14	9	ENSG00000188846	ENSG00000188846.14	3	40457292	40468587	1	RPL14	9	7136	792.8888888888889
SLC35F5	13	ENSG00000115084	ENSG00000115084.15	2	113705011	113756693	-1	SLC35F5	12	10314	793.3846153846154
THOP1	6	ENSG00000172009	ENSG00000172009.15	19	2785503	2815807	1	THOP1	14	4761	793.5
MTF1	10	ENSG00000188786	ENSG00000188786.10	1	37809574	37859592	-1	MTF1	2	7937	793.7
STRN4	4	ENSG00000090372	ENSG00000090372.15	19	46719511	46746994	-1	STRN4	24	3176	794.0
AKTIP	3	ENSG00000166971	ENSG00000166971.17	16	53491040	53504411	-1	AKTIP	14	2384	794.6666666666666
DDX52	8	ENSG00000277594	ENSG00000277594.2	HSCHR17_7_CTG4	1848852	1882558	-1	DDX52	8	6359	794.875
UCN	1	ENSG00000163794	ENSG00000163794.6	2	27307400	27308445	-1	UCN	1	795	795.0
RPS3AP6	1	ENSG00000234797	ENSG00000234797.5	15	59768352	59769146	1	RPS3AP6	1	795	795.0
NCR3LG1	8	ENSG00000188211	ENSG00000188211.9	11	17351800	17377341	1	NCR3LG1	2	6364	795.5
UVSSA	6	ENSG00000163945	ENSG00000163945.19	4	1345691	1395989	1	UVSSA	13	4773	795.5
AP3B1	5	ENSG00000132842	ENSG00000132842.16	5	77991640	78294762	-1	AP3B1	29	3980	796.0
SLC2A12	7	ENSG00000146411	ENSG00000146411.6	6	133987581	134052624	-1	SLC2A12	1	5572	796.0
OARD1	4	ENSG00000124596	ENSG00000124596.17	6	41033627	41097787	-1	OARD1	16	3184	796.0
UBE2D4	5	ENSG00000078967	ENSG00000078967.13	7	43926436	43956136	1	UBE2D4	11	3982	796.4
ABAT	6	ENSG00000183044	ENSG00000183044.12	16	8674596	8784575	1	ABAT	16	4779	796.5
NSF	5	ENSG00000278174	ENSG00000278174.3	HSCHR17_1_CTG5	1576739	1743341	1	NSF	8	3983	796.6
DUSP23	1	ENSG00000158716	ENSG00000158716.9	1	159780932	159782543	1	DUSP23	3	797	797.0
H1-5	1	ENSG00000184357	ENSG00000184357.5	6	27866792	27867588	-1	H1-5	1	797	797.0
IRX4	3	ENSG00000113430	ENSG00000113430.11	5	1877413	1887236	-1	IRX4	10	2394	798.0
GYG2	4	ENSG00000056998	ENSG00000056998.21	X	2828822	2882818	1	GYG2	8	3192	798.0
NCBP3	16	ENSG00000074356	ENSG00000074356.17	17	3802158	3846246	-1	NCBP3	7	12772	798.25
FAM72C	3	ENSG00000263513	ENSG00000263513.6	1	143955287	143971986	-1	FAM72C	2	2395	798.3333333333334
LHX2	3	ENSG00000106689	ENSG00000106689.11	9	124001670	124033301	1	LHX2	4	2396	798.6666666666666
NUDT5	4	ENSG00000165609	ENSG00000165609.14	10	12165330	12195891	-1	NUDT5	8	3195	798.75
MAPRE1P2	1	ENSG00000250076	ENSG00000250076.1	4	33010948	33011746	-1	MAPRE1P2	1	799	799.0
BRAP	5	ENSG00000089234	ENSG00000089234.16	12	111642146	111685956	-1	BRAP	3	3996	799.2
ATP6V1D	2	ENSG00000100554	ENSG00000100554.12	14	67294371	67360265	-1	ATP6V1D	14	1599	799.5
PLEKHA5	6	ENSG00000052126	ENSG00000052126.17	12	19129669	19376400	1	PLEKHA5	43	4797	799.5
KLHDC10	8	ENSG00000128607	ENSG00000128607.14	7	130070534	130135705	1	KLHDC10	4	6398	799.75
MITF	6	ENSG00000187098	ENSG00000187098.18	3	69739456	69968336	1	MITF	20	4799	799.8333333333334
SIRT6	2	ENSG00000077463	ENSG00000077463.15	19	4174109	4182566	-1	SIRT6	15	1600	800.0
KDM4B	7	ENSG00000127663	ENSG00000127663.16	19	4969113	5153611	1	KDM4B	12	5604	800.5714285714286
ERP44	6	ENSG00000023318	ENSG00000023318.9	9	99979185	100099052	-1	ERP44	15	4808	801.3333333333334
GPX3	2	ENSG00000211445	ENSG00000211445.13	5	151020591	151028988	1	GPX3	9	1603	801.5
SLC6A9	4	ENSG00000196517	ENSG00000196517.13	1	43991500	44031467	-1	SLC6A9	12	3206	801.5
BMERB1	3	ENSG00000278823	ENSG00000278823.4	HSCHR16_1_CTG1	1092272	1283041	1	BMERB1	10	2405	801.6666666666666
DGAT2	3	ENSG00000062282	ENSG00000062282.15	11	75759512	75801535	1	DGAT2	9	2407	802.3333333333334
PCDH1	6	ENSG00000156453	ENSG00000156453.14	5	141853090	141879246	-1	PCDH1	8	4814	802.3333333333334
ACTR10	3	ENSG00000131966	ENSG00000131966.14	14	58200080	58235636	1	ACTR10	16	2408	802.6666666666666
BCAM	3	ENSG00000187244	ENSG00000187244.12	19	44809071	44821421	1	BCAM	9	2409	803.0
DNMBP	8	ENSG00000107554	ENSG00000107554.17	10	99875577	100009947	-1	DNMBP	4	6428	803.5
RBM4	2	ENSG00000173933	ENSG00000173933.21	11	66638667	66668374	1	RBM4	13	1607	803.5
SEC24D	5	ENSG00000150961	ENSG00000150961.15	4	118722823	118838683	-1	SEC24D	14	4018	803.6
TP53TG1	4	ENSG00000182165	ENSG00000182165.21	7	87322943	87345596	-1	TP53TG1	63	3215	803.75
SLC7A11	12	ENSG00000151012	ENSG00000151012.13	4	138164097	138242349	-1	SLC7A11	2	9645	803.75
EFNB3	4	ENSG00000108947	ENSG00000108947.5	17	7705202	7711372	1	EFNB3	1	3216	804.0
BMP8B	6	ENSG00000116985	ENSG00000116985.12	1	39757182	39788865	-1	BMP8B	1	4826	804.3333333333334
RAB11FIP3	6	ENSG00000275338	ENSG00000275338.4	HSCHR16_CTG2	24765	125679	1	RAB11FIP3	11	4831	805.1666666666666
PREP	9	ENSG00000085377	ENSG00000085377.15	6	105273218	105454062	-1	PREP	3	7250	805.5555555555555
USF3	17	ENSG00000176542	ENSG00000176542.10	3	113648385	113696646	-1	USF3	4	13704	806.1176470588235
COX19	6	ENSG00000240230	ENSG00000240230.6	7	898778	975549	-1	COX19	4	4839	806.5
SORBS3	4	ENSG00000120896	ENSG00000120896.14	8	22544986	22575788	1	SORBS3	22	3227	806.75
CMTR1	5	ENSG00000137200	ENSG00000137200.13	6	37433219	37482827	1	CMTR1	6	4034	806.8
ZNF222	2	ENSG00000159885	ENSG00000159885.14	19	44025342	44033110	1	ZNF222	4	1614	807.0
SLC25A14	2	ENSG00000102078	ENSG00000102078.16	X	130339888	130373361	1	SLC25A14	15	1615	807.5
SLC22A3	4	ENSG00000146477	ENSG00000146477.6	6	160348378	160452577	1	SLC22A3	1	3234	808.5
UBXN7	13	ENSG00000163960	ENSG00000163960.13	3	196347659	196432430	-1	UBXN7	6	10521	809.3076923076923
USP28	6	ENSG00000048028	ENSG00000048028.12	11	113797874	113875572	-1	USP28	17	4856	809.3333333333334
RAPGEF2	10	ENSG00000109756	ENSG00000109756.10	4	159103013	159360174	1	RAPGEF2	16	8101	810.1
PSD4	14	ENSG00000125637	ENSG00000125637.16	2	113157325	113209396	1	PSD4	12	11342	810.1428571428571
KDM8	3	ENSG00000155666	ENSG00000155666.12	16	27203508	27221768	1	KDM8	14	2431	810.3333333333334
SEMA4A	4	ENSG00000196189	ENSG00000196189.14	1	156147366	156177752	1	SEMA4A	15	3242	810.5
HDAC2	12	ENSG00000196591	ENSG00000196591.12	6	113933028	114011308	-1	HDAC2	17	9737	811.4166666666666
SFSWAP	4	ENSG00000061936	ENSG00000061936.10	12	131711081	131799738	1	SFSWAP	11	3246	811.5
CORO1A	2	ENSG00000102879	ENSG00000102879.17	16	30182827	30189076	1	CORO1A	18	1623	811.5
IFI6	1	ENSG00000126709	ENSG00000126709.16	1	27666064	27672212	-1	IFI6	4	812	812.0
CHROMR	1	ENSG00000223960	ENSG00000223960.10	2	178413476	178442854	1	CHROMR	75	812	812.0
ARPIN-AP3S2	3	ENSG00000250021	ENSG00000250021.7	15	89834308	89912882	-1	ARPIN-AP3S2	4	2439	813.0
LAMB2	7	ENSG00000172037	ENSG00000172037.14	3	49121114	49133118	-1	LAMB2	19	5692	813.1428571428571
LCLAT1	6	ENSG00000172954	ENSG00000172954.14	2	30447226	30644225	1	LCLAT1	12	4879	813.1666666666666
KPNA4	11	ENSG00000186432	ENSG00000186432.10	3	160495007	160565571	-1	KPNA4	11	8952	813.8181818181819
CITED1	1	ENSG00000125931	ENSG00000125931.11	X	72301638	72307187	-1	CITED1	11	814	814.0
ZNF300	4	ENSG00000145908	ENSG00000145908.14	5	150894392	150904983	-1	ZNF300	3	3258	814.5
POMZP3	1	ENSG00000276464	ENSG00000276464.4	HSCHR7_2_CTG4_4	96821	114096	-1	POMZP3	5	815	815.0
MAN2C1	4	ENSG00000140400	ENSG00000140400.18	15	75355207	75368612	-1	MAN2C1	44	3261	815.25
CMTM4	10	ENSG00000183723	ENSG00000183723.13	16	66614750	66696743	-1	CMTM4	5	8153	815.3
ADGRB2	7	ENSG00000121753	ENSG00000121753.13	1	31727117	31764893	-1	ADGRB2	15	5708	815.4285714285714
GALNT14	3	ENSG00000158089	ENSG00000158089.15	2	30910467	31155202	-1	GALNT14	15	2447	815.6666666666666
IFT43	1	ENSG00000119650	ENSG00000119650.13	14	75902136	76084585	1	IFT43	13	816	816.0
INVS	6	ENSG00000119509	ENSG00000119509.13	9	100099243	100302175	1	INVS	7	4897	816.1666666666666
HSPA12A	7	ENSG00000165868	ENSG00000165868.16	10	116671192	116850251	-1	HSPA12A	30	5714	816.2857142857143
ECHDC3	2	ENSG00000134463	ENSG00000134463.15	10	11742366	11764070	1	ECHDC3	5	1633	816.5
ZNF296	2	ENSG00000170684	ENSG00000170684.10	19	45071500	45076478	-1	ZNF296	1	1634	817.0
ABTB2	6	ENSG00000166016	ENSG00000166016.6	11	34150987	34358010	-1	ABTB2	2	4905	817.5
ZNF502	4	ENSG00000281448	ENSG00000281448.3	HG2066_PATCH	237993	249181	1	ZNF502	4	3270	817.5
LYPLA2	2	ENSG00000011009	ENSG00000011009.12	1	23791110	23795539	1	LYPLA2	10	1635	817.5
SMIM29	1	ENSG00000186577	ENSG00000186577.14	6	34246381	34249108	-1	SMIM29	9	818	818.0
BRME1	3	ENSG00000288152	ENSG00000288152.1	HG109_PATCH	94189	118293	-1	BRME1	8	2454	818.0
IL32	1	ENSG00000008517	ENSG00000008517.19	16	3065297	3082192	1	IL32	35	818	818.0
FAM3C	3	ENSG00000196937	ENSG00000196937.11	7	121348878	121396364	-1	FAM3C	5	2455	818.3333333333334
ZNF175	8	ENSG00000105497	ENSG00000105497.8	19	51571283	51592510	1	ZNF175	5	6552	819.0
RRP8	8	ENSG00000132275	ENSG00000132275.11	11	6595072	6603616	-1	RRP8	5	6559	819.875
RPS2P52	1	ENSG00000213726	ENSG00000213726.5	19	690353	691172	1	RPS2P52	1	820	820.0
CBARP	4	ENSG00000099625	ENSG00000099625.14	19	1228287	1238027	-1	CBARP	7	3281	820.25
ARFGEF2	11	ENSG00000124198	ENSG00000124198.10	20	48921711	49036693	1	ARFGEF2	13	9031	821.0
TMEM63B	4	ENSG00000137216	ENSG00000137216.19	6	44126914	44155519	1	TMEM63B	10	3284	821.0
PRKCE	7	ENSG00000171132	ENSG00000171132.14	2	45651345	46187990	1	PRKCE	15	5749	821.2857142857143
SNX1	10	ENSG00000028528	ENSG00000028528.15	15	64094123	64146090	1	SNX1	14	8214	821.4
FERMT2	4	ENSG00000073712	ENSG00000073712.15	14	52857268	52952435	-1	FERMT2	15	3286	821.5
ERCC2	5	ENSG00000104884	ENSG00000104884.17	19	45349837	45370918	-1	ERCC2	20	4108	821.6
SSX2IP	7	ENSG00000117155	ENSG00000117155.17	1	84643706	84690803	-1	SSX2IP	10	5752	821.7142857142857
EIF2B4	2	ENSG00000115211	ENSG00000115211.17	2	27364352	27370338	-1	EIF2B4	10	1644	822.0
TCF7	4	ENSG00000081059	ENSG00000081059.20	5	134114681	134151865	1	TCF7	24	3288	822.0
UCP2	2	ENSG00000175567	ENSG00000175567.12	11	73974061	73982843	-1	UCP2	11	1644	822.0
KIAA1217	9	ENSG00000120549	ENSG00000120549.19	10	23694746	24547848	1	KIAA1217	18	7407	823.0
CCDC126	3	ENSG00000169193	ENSG00000169193.12	7	23597382	23644708	1	CCDC126	8	2470	823.3333333333334
ATXN10	4	ENSG00000130638	ENSG00000130638.18	22	45671798	45845307	1	ATXN10	11	3294	823.5
JADE3	6	ENSG00000102221	ENSG00000102221.14	X	46912276	47061242	1	JADE3	4	4947	824.5
DCAF4	3	ENSG00000119599	ENSG00000119599.17	14	72926377	72959703	1	DCAF4	15	2474	824.6666666666666
PPIL4	3	ENSG00000131013	ENSG00000131013.4	6	149504495	149546043	-1	PPIL4	2	2475	825.0
TACR3-AS1	1	ENSG00000251577	ENSG00000251577.5	4	103548745	103624534	1	TACR3-AS1	2	825	825.0
NOC4L	2	ENSG00000288146	ENSG00000288146.1	HG2246_HG2248_HG2276_PATCH	51486	59502	1	NOC4L	4	1650	825.0
ITPR3	11	ENSG00000096433	ENSG00000096433.11	6	33620365	33696574	1	ITPR3	2	9079	825.3636363636364
PAAF1	6	ENSG00000175575	ENSG00000175575.13	11	73876699	73931114	1	PAAF1	16	4954	825.6666666666666
BCL6	4	ENSG00000113916	ENSG00000113916.18	3	187721377	187745725	-1	BCL6	11	3306	826.5
CD74	2	ENSG00000019582	ENSG00000019582.17	5	150401637	150412969	-1	CD74	12	1653	826.5
PICSAR	1	ENSG00000275874	ENSG00000275874.2	21	44999140	45004753	-1	PICSAR	9	827	827.0
ABCC5	7	ENSG00000114770	ENSG00000114770.17	3	183919934	184017939	-1	ABCC5	13	5790	827.1428571428571
SPAG9	10	ENSG00000008294	ENSG00000008294.22	17	50962174	51120868	-1	SPAG9	21	8276	827.6
GINS1	4	ENSG00000101003	ENSG00000101003.12	20	25391008	25452700	1	GINS1	25	3311	827.75
NFE2	2	ENSG00000123405	ENSG00000123405.14	12	54292111	54301015	-1	NFE2	5	1656	828.0
DCTN3	1	ENSG00000137100	ENSG00000137100.16	9	34613545	34620523	-1	DCTN3	11	828	828.0
LINC01547	4	ENSG00000183250	ENSG00000183250.14	21	44932814	44939951	-1	LINC01547	14	3312	828.0
TRIM4	4	ENSG00000146833	ENSG00000146833.16	7	99876958	99919531	-1	TRIM4	5	3314	828.5
CEP68	7	ENSG00000011523	ENSG00000011523.15	2	65056354	65087004	1	CEP68	31	5803	829.0
ING4	2	ENSG00000111653	ENSG00000111653.20	12	6650301	6663142	-1	ING4	18	1659	829.5
PHF19	5	ENSG00000119403	ENSG00000119403.15	9	120855651	120894896	-1	PHF19	14	4149	829.8
DNAH8-AS1	1	ENSG00000231150	ENSG00000231150.6	6	38923029	38953105	-1	DNAH8-AS1	4	830	830.0
UBXN11	2	ENSG00000158062	ENSG00000158062.21	1	26281328	26318363	-1	UBXN11	16	1660	830.0
EMC1	8	ENSG00000127463	ENSG00000127463.16	1	19215660	19251552	-1	EMC1	27	6640	830.0
PDS5B	9	ENSG00000083642	ENSG00000083642.19	13	32586452	32778019	1	PDS5B	9	7472	830.2222222222222
PTBP2	4	ENSG00000117569	ENSG00000117569.20	1	96721665	96823738	1	PTBP2	24	3321	830.25
TRPS1	12	ENSG00000104447	ENSG00000104447.13	8	115408496	115809673	-1	TRPS1	12	9964	830.3333333333334
ZNF652	14	ENSG00000198740	ENSG00000198740.9	17	49289206	49362473	-1	ZNF652	4	11628	830.5714285714286
SBK1	6	ENSG00000188322	ENSG00000188322.8	16	28259246	28323849	1	SBK1	2	4986	831.0
HENMT1	2	ENSG00000162639	ENSG00000162639.16	1	108648290	108661526	-1	HENMT1	7	1662	831.0
MLH1	3	ENSG00000076242	ENSG00000076242.18	3	36993226	37050896	1	MLH1	39	2494	831.3333333333334
GTF2H5	9	ENSG00000272047	ENSG00000272047.4	6	158168350	158199344	1	GTF2H5	7	7483	831.4444444444445
LINC02574	2	ENSG00000233975	ENSG00000233975.3	1	27660327	27666279	-1	LINC02574	2	1663	831.5
PHLPP2	10	ENSG00000040199	ENSG00000040199.18	16	71637835	71724701	-1	PHLPP2	7	8317	831.7
MCM8	9	ENSG00000125885	ENSG00000125885.13	20	5950652	5998977	1	MCM8	5	7486	831.7777777777778
ARL15	4	ENSG00000185305	ENSG00000185305.12	5	53883942	54310582	-1	ARL15	6	3328	832.0
TERF1	4	ENSG00000147601	ENSG00000147601.15	8	73008856	73048123	1	TERF1	16	3329	832.25
PPTC7	6	ENSG00000196850	ENSG00000196850.6	12	110533245	110583318	-1	PPTC7	2	4994	832.3333333333334
OCLN	6	ENSG00000273814	ENSG00000273814.4	HSCHR5_2_CTG1_1	275189	339606	1	OCLN	6	4995	832.5
LAMTOR3	5	ENSG00000109270	ENSG00000109270.13	4	99878336	99894428	-1	LAMTOR3	3	4163	832.6
RIOK1	3	ENSG00000124784	ENSG00000124784.9	6	7389793	7418037	1	RIOK1	5	2498	832.6666666666666
ATF2	5	ENSG00000115966	ENSG00000115966.18	2	175072250	175168382	-1	ATF2	20	4164	832.8
MOCS2	5	ENSG00000164172	ENSG00000164172.20	5	53095679	53110063	-1	MOCS2	10	4166	833.2
NPM1P12	1	ENSG00000215311	ENSG00000215311.3	7	149334024	149334857	1	NPM1P12	1	834	834.0
TRIM39	4	ENSG00000224994	ENSG00000224994.10	HSCHR6_MHC_COX_CTG1	1806156	1823410	1	TRIM39	11	3338	834.5
PALS2	10	ENSG00000105926	ENSG00000105926.16	7	24573268	24694193	1	PALS2	9	8346	834.6
SLFN12	3	ENSG00000172123	ENSG00000172123.14	17	35409465	35433475	-1	SLFN12	14	2506	835.3333333333334
ACADSB	7	ENSG00000196177	ENSG00000196177.13	10	123008979	123058290	1	ACADSB	4	5848	835.4285714285714
ACTRT3	2	ENSG00000184378	ENSG00000184378.3	3	169766921	169769561	-1	ACTRT3	1	1671	835.5
KLHL13	4	ENSG00000003096	ENSG00000003096.15	X	117897813	118117340	-1	KLHL13	8	3342	835.5
ANO8	5	ENSG00000074855	ENSG00000074855.11	19	17323223	17334855	-1	ANO8	4	4178	835.6
VPS8	6	ENSG00000156931	ENSG00000156931.16	3	184812143	185052614	1	VPS8	28	5014	835.6666666666666
MINK1	6	ENSG00000141503	ENSG00000141503.17	17	4833340	4898061	1	MINK1	14	5017	836.1666666666666
CRYBG1	12	ENSG00000112297	ENSG00000112297.18	6	106360717	106572017	1	CRYBG1	4	10039	836.5833333333334
TRIM35	5	ENSG00000104228	ENSG00000104228.13	8	27284886	27311272	-1	TRIM35	4	4183	836.6
NPM1P8	1	ENSG00000236285	ENSG00000236285.1	X	32205902	32206738	1	NPM1P8	1	837	837.0
HGD	2	ENSG00000113924	ENSG00000113924.12	3	120628172	120682269	-1	HGD	10	1674	837.0
PDHA1	4	ENSG00000131828	ENSG00000131828.14	X	19343893	19361718	1	PDHA1	13	3349	837.25
NARS2	3	ENSG00000137513	ENSG00000137513.11	11	78435620	78575194	-1	NARS2	36	2512	837.3333333333334
AGAP1	13	ENSG00000157985	ENSG00000157985.20	2	235494043	236131793	1	AGAP1	12	10889	837.6153846153846
LYPLA1	3	ENSG00000120992	ENSG00000120992.18	8	54046367	54102017	-1	LYPLA1	15	2515	838.3333333333334
C15orf61	5	ENSG00000189227	ENSG00000189227.6	15	67521131	67530146	1	C15orf61	4	4193	838.6
ERGIC2	6	ENSG00000087502	ENSG00000087502.19	12	29337352	29381189	-1	ERGIC2	11	5033	838.8333333333334
NDUFB5	5	ENSG00000136521	ENSG00000136521.13	3	179604690	179627647	1	NDUFB5	16	4199	839.8
MBD6	5	ENSG00000166987	ENSG00000166987.15	12	57520710	57530148	1	MBD6	14	4202	840.4
ABCC10	6	ENSG00000124574	ENSG00000124574.16	6	43427366	43450430	1	ABCC10	10	5043	840.5
ZNF16	3	ENSG00000170631	ENSG00000170631.15	8	144930358	144950888	-1	ZNF16	9	2522	840.6666666666666
PDK2	4	ENSG00000005882	ENSG00000005882.12	17	50094737	50112152	1	PDK2	16	3364	841.0
CCDC12	1	ENSG00000160799	ENSG00000160799.13	3	46916634	46982010	-1	CCDC12	15	841	841.0
WRN	9	ENSG00000165392	ENSG00000165392.11	8	31033788	31176138	1	WRN	6	7575	841.6666666666666
TRIT1	6	ENSG00000043514	ENSG00000043514.17	1	39838110	39883511	-1	TRIT1	16	5051	841.8333333333334
SMPD2	2	ENSG00000135587	ENSG00000135587.9	6	109440724	109443919	1	SMPD2	3	1684	842.0
MLLT6	9	ENSG00000275851	ENSG00000275851.4	HSCHR17_7_CTG4	2740861	2765122	1	MLLT6	11	7578	842.0
IDE	7	ENSG00000119912	ENSG00000119912.18	10	92451684	92574096	-1	IDE	38	5894	842.0
MRPS33	5	ENSG00000090263	ENSG00000090263.16	7	141002610	141015228	-1	MRPS33	9	4210	842.0
LLGL1	5	ENSG00000131899	ENSG00000131899.13	17	18225635	18244875	1	LLGL1	3	4212	842.4
HVCN1	2	ENSG00000122986	ENSG00000122986.14	12	110627841	110704950	-1	HVCN1	9	1685	842.5
ADM2	5	ENSG00000128165	ENSG00000128165.9	22	50481543	50486440	1	ADM2	2	4213	842.6
BEX2	1	ENSG00000133134	ENSG00000133134.12	X	103309346	103311007	-1	BEX2	4	843	843.0
RHBDD1	6	ENSG00000144468	ENSG00000144468.17	2	226835581	226999215	1	RHBDD1	15	5061	843.5
SHPRH	9	ENSG00000146414	ENSG00000146414.17	6	145864245	145964423	-1	SHPRH	10	7596	844.0
SEMA7A	4	ENSG00000288455	ENSG00000288455.1	HG2198_PATCH	238558	263227	-1	SEMA7A	4	3376	844.0
NPM1P9	1	ENSG00000231066	ENSG00000231066.3	X	14834476	14835319	-1	NPM1P9	1	844	844.0
ACSM3	3	ENSG00000005187	ENSG00000005187.12	16	20610243	20797581	1	ACSM3	15	2533	844.3333333333334
DCUN1D4	5	ENSG00000109184	ENSG00000109184.15	4	51843000	51916837	1	DCUN1D4	22	4222	844.4
SCAMP5	4	ENSG00000198794	ENSG00000198794.12	15	74957219	75021495	1	SCAMP5	18	3379	844.75
ERCC1	4	ENSG00000012061	ENSG00000012061.17	19	45407334	45478828	-1	ERCC1	18	3379	844.75
FARSB	8	ENSG00000116120	ENSG00000116120.11	2	222566899	222656092	-1	FARSB	2	6761	845.125
RELL2	3	ENSG00000164620	ENSG00000164620.9	5	141636950	141641064	1	RELL2	7	2536	845.3333333333334
PHKA2	6	ENSG00000044446	ENSG00000044446.12	X	18892298	18984114	-1	PHKA2	8	5077	846.1666666666666
COBLL1	11	ENSG00000082438	ENSG00000082438.18	2	164653624	164843679	-1	COBLL1	25	9309	846.2727272727273
ZDHHC2	7	ENSG00000104219	ENSG00000104219.13	8	17156482	17224799	1	ZDHHC2	4	5924	846.2857142857143
ZNF812P	2	ENSG00000224689	ENSG00000224689.12	19	9689924	9694892	-1	ZNF812P	1	1694	847.0
NOMO2	5	ENSG00000185164	ENSG00000185164.15	16	18417325	18562211	-1	NOMO2	12	4235	847.0
MRPS11	4	ENSG00000181991	ENSG00000181991.16	15	88467453	88480776	1	MRPS11	11	3392	848.0
ITGA6-AS1	1	ENSG00000232788	ENSG00000232788.3	2	172464259	172556596	-1	ITGA6-AS1	13	848	848.0
RIC1	8	ENSG00000107036	ENSG00000107036.12	9	5629025	5776557	1	RIC1	7	6786	848.25
NYNRIN	9	ENSG00000205978	ENSG00000205978.6	14	24399003	24419283	1	NYNRIN	2	7635	848.3333333333334
